id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
19538,option,100,158.2,161.0,250.00000000000114,2021-12-22 06:45:01.225271+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19539,option,25,503.25,469.4,-876.2500000000006,2021-12-22 06:45:02.004392+00:00,2021-12-22 07:50:01.250945+00:00,34400,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19541,option,25,498.7,555.0,1377.5000000000002,2021-12-22 06:45:03.978129+00:00,2021-12-22 07:40:02.266147+00:00,34400,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19543,option,-100,187.3,177.75,-985.0000000000011,2021-12-22 06:50:03.351986+00:00,2021-12-22 07:20:01.281349+00:00,17050,pe,2,Nifty50 Pyramiding_1,NIFTY
19549,option,100,171.0,161.0,-1030.0,2021-12-22 07:20:01.157796+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19550,option,100,171.0,162.7,-860.0000000000011,2021-12-22 07:20:01.281349+00:00,2021-12-22 07:50:06.152858+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19553,option,100,174.2,161.0,-1349.9999999999989,2021-12-22 07:25:04.258196+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19556,option,100,187.6,161.0,-2689.9999999999995,2021-12-22 07:40:00.810783+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19557,option,100,187.6,162.7,-2520.0000000000005,2021-12-22 07:40:00.929437+00:00,2021-12-22 07:50:06.152858+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19559,option,-25,472.8,489.95,398.74999999999943,2021-12-22 07:40:02.266147+00:00,2021-12-22 09:05:03.974317+00:00,35300,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19560,option,-25,490.0,410.05,-2028.7499999999998,2021-12-22 07:45:01.580282+00:00,2021-12-22 09:05:03.974317+00:00,35200,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19562,option,100,151.4,161.0,929.9999999999994,2021-12-22 07:45:03.419085+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19563,option,-100,183.7,178.1,-589.9999999999994,2021-12-22 07:50:01.391823+00:00,2021-12-22 08:00:04.694214+00:00,17050,pe,4,Nifty50 Pyramiding_10,NIFTY
19564,option,-25,471.15,409.0,-1583.7499999999995,2021-12-22 07:50:01.250945+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19566,option,-25,473.25,366.85,-2689.9999999999995,2021-12-22 07:50:03.044280+00:00,2021-12-22 09:00:03.364628+00:00,35200,pe,1,BankNifty Pyramiding_1,BANKNIFTY
19567,option,-25,471.3,410.05,-1561.25,2021-12-22 07:50:05.738874+00:00,2021-12-22 09:05:03.974317+00:00,35200,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19568,option,-100,182.8,177.35,-575.0000000000017,2021-12-22 07:50:06.152858+00:00,2021-12-22 08:00:02.154668+00:00,17050,pe,2,Nifty50 Pyramiding_1,NIFTY
19569,option,-100,168.0,178.1,979.9999999999994,2021-12-22 07:55:01.404961+00:00,2021-12-22 08:00:04.694214+00:00,17050,pe,4,Nifty50 Pyramiding_10,NIFTY
19570,option,-25,496.9,488.05,-251.24999999999915,2021-12-22 07:55:01.313524+00:00,2021-12-22 09:05:00.385674+00:00,35300,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19571,option,-25,495.9,489.95,-178.74999999999972,2021-12-22 07:55:02.852089+00:00,2021-12-22 09:05:03.974317+00:00,35300,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19573,option,100,166.1,140.3,-2609.999999999998,2021-12-22 08:00:02.154668+00:00,2021-12-22 08:40:01.341206+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19574,option,100,165.55,155.45,-1040.0000000000023,2021-12-22 08:00:04.694214+00:00,2021-12-22 08:30:05.379580+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19576,option,-25,525.05,488.05,-954.9999999999986,2021-12-22 08:00:07.118928+00:00,2021-12-22 09:05:00.385674+00:00,35300,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19577,option,100,167.85,155.45,-1270.0000000000005,2021-12-22 08:05:00.836877+00:00,2021-12-22 08:30:05.379580+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19578,option,-25,519.0,488.05,-803.7499999999998,2021-12-22 08:05:02.533442+00:00,2021-12-22 09:05:00.385674+00:00,35300,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19580,option,-25,460.05,409.0,-1306.2500000000002,2021-12-22 08:10:02.637545+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19582,option,-25,450.45,409.0,-1066.2499999999998,2021-12-22 08:15:02.702276+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19584,option,-25,465.0,409.0,-1430.0,2021-12-22 08:20:02.749070+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19586,option,-25,482.4,409.0,-1864.9999999999995,2021-12-22 08:25:07.774550+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19588,option,-25,472.8,410.05,-1598.75,2021-12-22 08:30:03.713179+00:00,2021-12-22 09:05:03.974317+00:00,35200,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19590,option,-100,186.1,173.75,-1264.9999999999995,2021-12-22 08:30:05.379580+00:00,2021-12-22 09:05:04.500576+00:00,17050,pe,4,Nifty50 Pyramiding_10,NIFTY
19591,option,-25,474.4,409.0,-1664.9999999999995,2021-12-22 08:30:05.378459+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19592,option,-100,152.05,133.3,-1905.0,2021-12-22 08:35:00.913418+00:00,2021-12-22 09:05:04.500576+00:00,17000,pe,4,Nifty50 Pyramiding_10,NIFTY
19593,option,-25,484.75,409.0,-1923.75,2021-12-22 08:35:02.905320+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19594,option,-25,483.7,410.05,-1871.2499999999995,2021-12-22 08:35:03.123234+00:00,2021-12-22 09:05:03.974317+00:00,35200,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19596,option,-100,160.8,133.3,-2780.0,2021-12-22 08:40:01.099495+00:00,2021-12-22 09:05:04.500576+00:00,17000,pe,4,Nifty50 Pyramiding_10,NIFTY
19597,option,-100,160.8,129.45,-3165.0000000000023,2021-12-22 08:40:01.341206+00:00,2021-12-22 08:55:02.701138+00:00,17000,pe,2,Nifty50 Pyramiding_1,NIFTY
19598,option,-25,495.05,366.85,-3234.9999999999995,2021-12-22 08:40:05.554865+00:00,2021-12-22 09:00:03.364628+00:00,35200,pe,1,BankNifty Pyramiding_1,BANKNIFTY
19600,option,-25,495.45,409.0,-2191.2499999999995,2021-12-22 08:40:05.308264+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19601,option,-25,496.3,410.05,-2186.25,2021-12-22 08:40:09.824819+00:00,2021-12-22 09:05:03.974317+00:00,35200,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19602,option,-25,457.05,410.05,-1205.0,2021-12-22 08:45:00.958396+00:00,2021-12-22 09:05:03.974317+00:00,35200,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19603,option,-25,455.0,409.0,-1180.0,2021-12-22 08:45:00.716651+00:00,2021-12-22 09:05:00.385674+00:00,35200,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19605,option,-100,185.05,173.75,-1160.0000000000011,2021-12-22 08:45:03.142391+00:00,2021-12-22 09:05:04.500576+00:00,17050,pe,4,Nifty50 Pyramiding_10,NIFTY
19606,option,-25,513.2,488.05,-658.7500000000009,2021-12-22 08:50:00.500541+00:00,2021-12-22 09:05:00.385674+00:00,35300,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19608,option,-100,166.55,173.75,689.9999999999989,2021-12-22 08:50:02.383169+00:00,2021-12-22 09:05:04.500576+00:00,17050,pe,4,Nifty50 Pyramiding_10,NIFTY
19609,option,-25,512.9,489.95,-603.7499999999998,2021-12-22 08:50:02.417831+00:00,2021-12-22 09:05:03.974317+00:00,35300,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19611,option,100,169.0,315.95,14664.999999999998,2021-12-22 08:55:02.701138+00:00,2021-12-23 04:50:01.116962+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19612,option,-25,496.05,488.05,-230.0,2021-12-22 08:55:00.520109+00:00,2021-12-22 09:05:00.385674+00:00,35300,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19613,option,-25,452.8,488.05,851.25,2021-12-22 09:00:01.082686+00:00,2021-12-22 09:05:00.385674+00:00,35300,pe,3,BankNifty Pyramiding_10,BANKNIFTY
19615,option,25,474.5,644.85,4228.750000000001,2021-12-22 09:00:03.364628+00:00,2021-12-23 05:00:03.815255+00:00,34500,ce,1,BankNifty Pyramiding_1,BANKNIFTY
19616,option,25,511.05,743.3,5776.249999999998,2021-12-22 09:05:00.594467+00:00,2021-12-23 05:00:03.815255+00:00,34400,ce,1,BankNifty Pyramiding_1,BANKNIFTY
19618,option,25,511.05,743.3,5776.249999999998,2021-12-22 09:05:00.385674+00:00,2021-12-23 05:00:01.822875+00:00,34400,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19619,option,100,163.55,304.75,14089.999999999998,2021-12-22 09:05:04.500576+00:00,2021-12-23 05:00:05.441945+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19620,option,25,508.7,743.3,5834.999999999999,2021-12-22 09:05:03.974317+00:00,2021-12-23 05:00:04.374868+00:00,34400,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19621,option,100,163.55,315.95,15209.999999999998,2021-12-22 09:05:05.286206+00:00,2021-12-23 04:50:01.116962+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19622,option,25,486.05,743.3,6401.249999999998,2021-12-22 09:10:02.646446+00:00,2021-12-23 05:00:01.822875+00:00,34400,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19623,option,100,160.65,304.75,14380.0,2021-12-22 09:10:01.920100+00:00,2021-12-23 05:00:05.441945+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19624,option,25,486.05,743.3,6401.249999999998,2021-12-22 09:10:04.203838+00:00,2021-12-23 05:00:04.374868+00:00,34400,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19626,option,25,519.1,743.3,5574.999999999998,2021-12-22 09:15:02.471602+00:00,2021-12-23 05:00:01.822875+00:00,34400,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19628,option,25,457.65,644.85,4650.000000000001,2021-12-22 09:20:02.944015+00:00,2021-12-23 05:00:01.822875+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19630,option,100,187.7,315.95,12795.0,2021-12-22 09:25:01.355690+00:00,2021-12-23 04:50:01.116962+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19631,option,100,187.7,304.75,11675.000000000002,2021-12-22 09:25:01.217302+00:00,2021-12-23 05:00:05.441945+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19632,option,25,464.85,644.85,4470.0,2021-12-22 09:25:02.801147+00:00,2021-12-23 05:00:01.822875+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19634,option,25,464.85,644.85,4470.0,2021-12-22 09:25:02.996640+00:00,2021-12-23 05:00:04.374868+00:00,34500,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19635,option,25,459.1,552.3,2299.999999999998,2021-12-22 09:30:00.784370+00:00,2021-12-23 05:00:01.822875+00:00,34600,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19637,option,100,170.2,257.4,8689.999999999998,2021-12-22 09:30:02.893054+00:00,2021-12-23 05:00:05.441945+00:00,16800,ce,4,Nifty50 Pyramiding_10,NIFTY
19638,option,25,464.85,552.3,2156.249999999998,2021-12-22 09:30:02.966752+00:00,2021-12-23 05:00:04.374868+00:00,34600,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19639,option,100,180.65,257.4,7644.999999999997,2021-12-22 09:35:02.207180+00:00,2021-12-23 05:00:05.441945+00:00,16800,ce,4,Nifty50 Pyramiding_10,NIFTY
19640,option,25,499.95,552.3,1278.749999999999,2021-12-22 09:35:02.908569+00:00,2021-12-23 05:00:01.822875+00:00,34600,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19642,option,25,501.65,552.3,1236.2499999999995,2021-12-22 09:35:04.819407+00:00,2021-12-23 05:00:04.374868+00:00,34600,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
